Epoch: 57, train loss: -1.0804, test auc-roc: 0.9003, test auc-pr: 0.1839, test log prob: -2576.4313
Epoch: 58, train loss: -1.0697, test auc-roc: 0.8983, test auc-pr: 0.2559, test log prob: -2600.5272
Epoch: 59, train loss: -1.0382, test auc-roc: 0.9111, test auc-pr: 0.2218, test log prob: -2602.6410
Epoch: 60, train loss: -1.0690, test auc-roc: 0.9075, test auc-pr: 0.1926, test log prob: -2601.6451
Epoch: 61, train loss: -1.0519, test auc-roc: 0.8986, test auc-pr: 0.1647, test log prob: -2599.1626
Epoch: 62, train loss: -1.0315, test auc-roc: 0.8961, test auc-pr: 0.2442, test log prob: -2600.7149
Epoch: 63, train loss: -1.0428, test auc-roc: 0.8971, test auc-pr: 0.1980, test log prob: -2592.8535
Epoch: 64, train loss: -1.0376, test auc-roc: 0.9017, test auc-pr: 0.2196, test log prob: -2607.0638
Epoch: 65, train loss: -1.0775, test auc-roc: 0.9018, test auc-pr: 0.2243, test log prob: -2587.1712
Epoch: 66, train loss: -1.0425, test auc-roc: 0.9004, test auc-pr: 0.2042, test log prob: -2595.9203
Epoch: 67, train loss: -1.0679, test auc-roc: 0.8969, test auc-pr: 0.1637, test log prob: -2611.4396
Epoch: 68, train loss: -1.0670, test auc-roc: 0.8951, test auc-pr: 0.1885, test log prob: -2622.6645
Epoch: 69, train loss: -1.0452, test auc-roc: 0.8825, test auc-pr: 0.2190, test log prob: -2592.2164
Epoch: 70, train loss: -1.0373, test auc-roc: 0.8955, test auc-pr: 0.2602, test log prob: -2579.4189
Epoch: 71, train loss: -1.0477, test auc-roc: 0.9029, test auc-pr: 0.1891, test log prob: -2600.9826
Epoch: 72, train loss: -1.0710, test auc-roc: 0.9111, test auc-pr: 0.1564, test log prob: -2609.0874
Epoch: 73, train loss: -1.0678, test auc-roc: 0.8878, test auc-pr: 0.1627, test log prob: -2601.0601
Epoch: 74, train loss: -1.0792, test auc-roc: 0.8893, test auc-pr: 0.2331, test log prob: -2612.5020
Epoch: 75, train loss: -1.0585, test auc-roc: 0.9022, test auc-pr: 0.1634, test log prob: -2598.2354
Epoch: 76, train loss: -1.0543, test auc-roc: 0.8972, test auc-pr: 0.1836, test log prob: -2598.6182
Epoch: 77, train loss: -1.0679, test auc-roc: 0.9017, test auc-pr: 0.2490, test log prob: -2588.9732
Epoch: 78, train loss: -1.0729, test auc-roc: 0.9083, test auc-pr: 0.1801, test log prob: -2595.2354
Epoch: 79, train loss: -1.0650, test auc-roc: 0.9027, test auc-pr: 0.2244, test log prob: -2580.2744
Epoch: 80, train loss: -1.0791, test auc-roc: 0.9026, test auc-pr: 0.2764, test log prob: -2585.5945
Epoch: 81, train loss: -1.0618, test auc-roc: 0.8950, test auc-pr: 0.2404, test log prob: -2604.5181
Epoch: 82, train loss: -1.0666, test auc-roc: 0.8885, test auc-pr: 0.1549, test log prob: -2604.5388
Epoch: 83, train loss: -1.0278, test auc-roc: 0.9153, test auc-pr: 0.2705, test log prob: -2590.5933
Epoch: 84, train loss: -1.0586, test auc-roc: 0.9150, test auc-pr: 0.2092, test log prob: -2605.9090
Epoch: 85, train loss: -1.0386, test auc-roc: 0.9016, test auc-pr: 0.1642, test log prob: -2598.4075
Epoch: 86, train loss: -1.0582, test auc-roc: 0.9049, test auc-pr: 0.1660, test log prob: -2595.3588
Epoch: 87, train loss: -1.0632, test auc-roc: 0.9139, test auc-pr: 0.2527, test log prob: -2597.8469
Epoch: 88, train loss: -1.0649, test auc-roc: 0.8901, test auc-pr: 0.2034, test log prob: -2609.3451
Epoch: 89, train loss: -1.0846, test auc-roc: 0.9019, test auc-pr: 0.1944, test log prob: -2602.2255
Epoch: 90, train loss: -1.0658, test auc-roc: 0.8966, test auc-pr: 0.1752, test log prob: -2604.1665
Epoch: 91, train loss: -1.0041, test auc-roc: 0.9038, test auc-pr: 0.2299, test log prob: -2592.0442
Epoch: 92, train loss: -1.0915, test auc-roc: 0.8961, test auc-pr: 0.1953, test log prob: -2588.7402
Epoch: 93, train loss: -1.0579, test auc-roc: 0.9046, test auc-pr: 0.1779, test log prob: -2601.6706
Epoch: 94, train loss: -1.0572, test auc-roc: 0.9008, test auc-pr: 0.2115, test log prob: -2601.4018
Epoch: 95, train loss: -1.0504, test auc-roc: 0.9051, test auc-pr: 0.2348, test log prob: -2606.5321
Epoch: 96, train loss: -1.0601, test auc-roc: 0.9049, test auc-pr: 0.2316, test log prob: -2586.2629
Epoch: 97, train loss: -1.0457, test auc-roc: 0.9021, test auc-pr: 0.1954, test log prob: -2614.1167
Epoch: 98, train loss: -1.0478, test auc-roc: 0.8982, test auc-pr: 0.2523, test log prob: -2599.5983
Epoch: 99, train loss: -1.0605, test auc-roc: 0.8930, test auc-pr: 0.2218, test log prob: -2601.9623
Epoch: 100, train loss: -1.0675, test auc-roc: 0.8917, test auc-pr: 0.2245, test log prob: -2578.3579
Epoch: 101, train loss: -1.0516, test auc-roc: 0.8887, test auc-pr: 0.1999, test log prob: -2598.0767
Epoch: 102, train loss: -1.0669, test auc-roc: 0.8870, test auc-pr: 0.1954, test log prob: -2585.5085
Epoch: 103, train loss: -1.0918, test auc-roc: 0.8886, test auc-pr: 0.1837, test log prob: -2608.9711
Epoch: 104, train loss: -1.0386, test auc-roc: 0.8898, test auc-pr: 0.2537, test log prob: -2596.2476
Epoch: 105, train loss: -1.0752, test auc-roc: 0.8874, test auc-pr: 0.2004, test log prob: -2592.2939
Epoch: 106, train loss: -1.0581, test auc-roc: 0.9068, test auc-pr: 0.2214, test log prob: -2611.7474
Epoch: 107, train loss: -1.0545, test auc-roc: 0.8976, test auc-pr: 0.1881, test log prob: -2602.7667
Epoch: 108, train loss: -1.0685, test auc-roc: 0.8863, test auc-pr: 0.1782, test log prob: -2597.4081
Epoch: 109, train loss: -1.0748, test auc-roc: 0.8881, test auc-pr: 0.2545, test log prob: -2607.2117
Epoch: 110, train loss: -1.0535, test auc-roc: 0.8877, test auc-pr: 0.1926, test log prob: -2593.7087
Epoch: 111, train loss: -1.0815, test auc-roc: 0.8822, test auc-pr: 0.2149, test log prob: -2606.2450
Epoch: 112, train loss: -1.0566, test auc-roc: 0.8854, test auc-pr: 0.2118, test log prob: -2608.9877
Epoch: 113, train loss: -1.0594, test auc-roc: 0.8935, test auc-pr: 0.1675, test log prob: -2613.5982
Epoch: 114, train loss: -1.0582, test auc-roc: 0.9064, test auc-pr: 0.1707, test log prob: -2600.1838
Epoch: 115, train loss: -1.0560, test auc-roc: 0.9026, test auc-pr: 0.2021, test log prob: -2579.9275
Epoch: 116, train loss: -1.0684, test auc-roc: 0.8999, test auc-pr: 0.2682, test log prob: -2594.1623
Epoch: 117, train loss: -1.0672, test auc-roc: 0.9114, test auc-pr: 0.2187, test log prob: -2602.4833
Epoch: 118, train loss: -1.0291, test auc-roc: 0.8990, test auc-pr: 0.2630, test log prob: -2614.4766
Epoch: 119, train loss: -1.0207, test auc-roc: 0.9031, test auc-pr: 0.2408, test log prob: -2598.8408
Epoch: 120, train loss: -1.0585, test auc-roc: 0.8921, test auc-pr: 0.2172, test log prob: -2592.4111
Epoch: 121, train loss: -1.0700, test auc-roc: 0.9043, test auc-pr: 0.2568, test log prob: -2605.5384
Epoch: 122, train loss: -1.0662, test auc-roc: 0.8972, test auc-pr: 0.2380, test log prob: -2602.5095
Epoch: 123, train loss: -1.0765, test auc-roc: 0.9003, test auc-pr: 0.1956, test log prob: -2595.1504
Epoch: 124, train loss: -1.0654, test auc-roc: 0.8913, test auc-pr: 0.2297, test log prob: -2609.0651
Epoch: 125, train loss: -1.0681, test auc-roc: 0.9040, test auc-pr: 0.2479, test log prob: -2599.3564
Epoch: 126, train loss: -1.0696, test auc-roc: 0.9013, test auc-pr: 0.2699, test log prob: -2597.7311
Epoch: 127, train loss: -1.0834, test auc-roc: 0.9062, test auc-pr: 0.2128, test log prob: -2600.3809
Epoch: 128, train loss: -1.0351, test auc-roc: 0.9037, test auc-pr: 0.1829, test log prob: -2605.2413
Epoch: 129, train loss: -1.0813, test auc-roc: 0.9007, test auc-pr: 0.2443, test log prob: -2596.3064
Epoch: 130, train loss: -1.0716, test auc-roc: 0.9012, test auc-pr: 0.2531, test log prob: -2599.0376
Epoch: 131, train loss: -1.0493, test auc-roc: 0.9136, test auc-pr: 0.2231, test log prob: -2600.4986
Epoch: 132, train loss: -1.0629, test auc-roc: 0.8979, test auc-pr: 0.1741, test log prob: -2619.2590
Epoch: 133, train loss: -1.0846, test auc-roc: 0.8952, test auc-pr: 0.2794, test log prob: -2601.9945
Epoch: 134, train loss: -1.0418, test auc-roc: 0.8914, test auc-pr: 0.2277, test log prob: -2604.7784
Epoch: 135, train loss: -1.0576, test auc-roc: 0.9011, test auc-pr: 0.1704, test log prob: -2597.1602
